index,year,month,day,big_endian_date,little_endian_date,us_date,title,authors,first_author,second_author,pseudonym_of
3823,2004,12,19,2004-12-19,19/12/2004,12/19/2004,The Five People You Meet in Heaven,Mitch Albom,Mitch Albom,,
3824,2004,12,26,2004-12-26,26/12/2004,12/26/2004,The Five People You Meet in Heaven,Mitch Albom,Mitch Albom,,
3825,2005,1,2,2005-1-2,2/1/2005,1/2/2005,The Five People You Meet in Heaven,Mitch Albom,Mitch Albom,,
3826,2005,1,9,2005-1-9,9/1/2005,1/9/2005,The Da Vinci Code,Dan Brown,Dan Brown,,
3827,2005,1,16,2005-1-16,16/1/2005,1/16/2005,The Da Vinci Code,Dan Brown,Dan Brown,,
3828,2005,1,23,2005-1-23,23/1/2005,1/23/2005,The Da Vinci Code,Dan Brown,Dan Brown,,
3829,2005,1,30,2005-1-30,30/1/2005,1/30/2005,The Broker,John Grisham,John Grisham,,
3830,2005,2,6,2005-2-6,6/2/2005,2/6/2005,The Broker,John Grisham,John Grisham,,
3831,2005,2,13,2005-2-13,13/2/2005,2/13/2005,The Broker,John Grisham,John Grisham,,
3832,2005,2,20,2005-2-20,20/2/2005,2/20/2005,The Broker,John Grisham,John Grisham,,
3833,2005,2,27,2005-2-27,27/2/2005,2/27/2005,The Broker,John Grisham,John Grisham,,
3834,2005,3,6,2005-3-6,6/3/2005,3/6/2005,Honeymoon,James Patterson and Howard Roughan,James Patterson,Howard Roughan,
3835,2005,3,13,2005-3-13,13/3/2005,3/13/2005,Honeymoon,James Patterson and Howard Roughan,James Patterson,Howard Roughan,
3836,2005,3,20,2005-3-20,20/3/2005,3/20/2005,Honeymoon,James Patterson and Howard Roughan,James Patterson,Howard Roughan,
3837,2005,3,27,2005-3-27,27/3/2005,3/27/2005,Honeymoon,James Patterson and Howard Roughan,James Patterson,Howard Roughan,
3838,2005,4,3,2005-4-3,3/4/2005,4/3/2005,The Rising,Tim LaHaye and Jerry B. Jenkins,Tim LaHaye and J,Jerry B. Jenkins,
3839,2005,4,10,2005-4-10,10/4/2005,4/10/2005,The Da Vinci Code,Dan Brown,Dan Brown,,
3840,2005,4,17,2005-4-17,17/4/2005,4/17/2005,The Da Vinci Code,Dan Brown,Dan Brown,,
3841,2005,4,24,2005-4-24,24/4/2005,4/24/2005,No Place Like Home,Mary Higgins Clark,Mary Higgins Clark,,
3842,2005,5,1,2005-5-1,1/5/2005,5/1/2005,True Believer,Nicholas Sparks,Nicholas Sparks,,
3843,2005,5,8,2005-5-8,8/5/2005,5/8/2005,True Believer,Nicholas Sparks,Nicholas Sparks,,
3844,2005,5,15,2005-5-15,15/5/2005,5/15/2005,True Believer,Nicholas Sparks,Nicholas Sparks,,
3845,2005,5,22,2005-5-22,22/5/2005,5/22/2005,4th of July,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3846,2005,5,29,2005-5-29,29/5/2005,5/29/2005,4th of July,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3847,2005,6,5,2005-6-5,5/6/2005,6/5/2005,The Closers,Michael Connelly,Michael Connelly,,
3848,2005,6,12,2005-6-12,12/6/2005,6/12/2005,4th of July,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3849,2005,6,19,2005-6-19,19/6/2005,6/19/2005,4th of July,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3850,2005,6,26,2005-6-26,26/6/2005,6/26/2005,The Mermaid Chair,Sue Monk Kidd,Sue Monk Kidd,,
3851,2005,7,3,2005-7-3,3/7/2005,7/3/2005,The Historian,Elizabeth Kostova,Elizabeth Kostova,,
